"11sf -- Bruttokansantuote ja -tulo seka tarjonta ja kysynta, vuosittain, 1975-2022*"

"Vuosi";"Kaypiin hintoihin, miljoonaa euroa B1GMH Bruttokansantuote markkinahintaan";"Kaypiin hintoihin, miljoonaa euroa P7R Tavaroiden ja palvelujen tuonti, tulona";"Kaypiin hintoihin, miljoonaa euroa P6K Tavaroiden ja palvelujen vienti, menona";"Kaypiin hintoihin, miljoonaa euroa P3KS13 Julkiset kulutusmenot (S13), menona";"Kaypiin hintoihin, miljoonaa euroa P3KS14_S15 S15 Yksityiset kulutusmenot (S14+S15), menona";"Kaypiin hintoihin, miljoonaa euroa P51K Kiintean paaoman bruttomuodostus, menona";"Kaypiin hintoihin, miljoonaa euroa P52K Varaston muutos, menona";"Kaypiin hintoihin, miljoonaa euroa P53K Arvoesineiden nettohankinta, menona";"Kaypiin hintoihin, miljoonaa euroa DEB1G  Tilastollinen ero"
"1975";18145;5142;4036;3065;9626;5990;487;0;83
"1976";20604;5324;4874;3710;10984;6095;-113;0;378
"1977";22614;5798;6096;4187;12158;6554;-243;0;-340
"1978";25051;6218;6995;4534;13487;6489;-318;0;82
"1979";29056;8312;8616;5129;15344;7343;735;0;201
"1980";33657;10812;10374;5960;17463;9195;1322;0;155
"1981";38067;11538;11910;6983;19719;10325;485;0;183
"1982";42803;12285;12359;7901;22586;11735;538;0;-31
"1983";47752;13712;13707;8972;25109;13272;287;0;117
"1984";53460;14495;15763;10129;27682;14072;485;0;-176
"1985";58245;15912;16302;11477;30326;15524;171;0;357
"1986";62693;15257;16079;12495;32700;16384;-48;0;340
"1987";67716;16577;16928;13756;35311;18228;-77;0;147
"1988";76723;18607;18341;15044;38976;21616;714;0;639
"1989";85891;21345;19775;16677;43173;26246;1239;0;126
"1990";90959;21553;20144;18983;45530;26996;418;0;441
"1991";86899;19308;18483;20781;46211;22485;-1549;0;-204
"1992";84782;20939;21657;20577;45794;18844;-978;0;-173
"1993";85708;22956;26896;19971;46172;16413;-485;0;-303
"1994";90749;25766;30887;20324;47694;16927;1006;0;-323
"1995";98549;27898;35246;21577;50219;18999;993;60;-647
"1996";102083;30015;37076;22621;52619;20930;-328;60;-880
"1997";110807;33734;41860;23615;55509;23670;376;60;-549
"1998";120474;35574;45104;24787;59139;26757;905;65;-709
"1999";126916;36343;47726;25713;61991;28485;-113;64;-607
"2000";136442;44840;57348;26930;65220;31460;1034;67;-777
"2001";144628;44130;57510;28818;68774;33084;371;66;135
"2002";148486;44790;58110;30629;71649;32076;605;64;143
"2003";151749;46640;56634;32014;75349;33056;607;66;663
"2004";158758;51350;61305;33632;78394;35336;906;66;469
"2005";164687;59791;66325;35262;81746;37743;2701;76;625
"2006";172897;67273;74474;36863;86134;39358;2065;66;1210
"2007";187072;73017;81986;38849;90871;45263;2471;66;583
"2008";194265;80201;87225;41893;95815;47583;1396;67;487
"2009";181747;61871;65576;43742;94773;41720;-2761;67;501
"2010";188143;69707;72274;44564;99020;41949;-468;66;445
"2011";197998;78564;77022;46255;105260;44780;2755;72;418
"2012";201037;81143;78019;48444;108645;46395;558;71;48
"2013";204321;79841;77678;50133;110708;44967;599;68;9
"2014";206897;77858;75479;50705;112803;44425;874;55;414
"2015";211385;76047;74845;51545;115144;44877;963;58;0
"2016";217518;78498;75719;51489;118181;49474;1076;77;0
"2017";226301;84871;84975;51568;120301;52839;1422;67;0
"2018";233462;92739;89810;53466;123936;56206;2713;72;-2
"2019";239858;95283;95657;55619;126081;57149;567;73;-5
"2020";238038;85006;85188;57727;121754;57231;1071;73;0
"2021*";250594;98889;99114;61682;128380;59109;1140;61;-3
"2022*";266679;127056;119716;64844;138305;65746;6987;68;-1931
