Aika	Inflaatio	Tyottomyys
2011M01	3,03	8,6
2011M02	3,32	8,5
2011M03	3,30	9,9
2011M04	3,16	8,4
2011M05	3,34	9,8
2011M06	3,54	8,7
2011M07	3,95	7,1
2011M08	3,83	6,6
2011M09	3,69	7,0
2011M10	3,54	7,1
2011M11	3,35	6,3
2011M12	2,89	7,6
2012M01	3,17	8,1
2012M02	3,11	7,7
2012M03	2,94	8,8
2012M04	3,10	8,3
2012M05	3,06	9,8
2012M06	2,83	8,0
2012M07	2,92	6,9
2012M08	2,72	7,4
2012M09	2,70	7,2
2012M10	2,59	6,9
2012M11	2,19	7,4
2012M12	2,35	7,2
2013M01	1,62	8,9
2013M02	1,66	9,0
2013M03	1,74	9,1
2013M04	1,54	9,0
2013M05	1,55	10,9
2013M06	1,41	7,8
2013M07	1,59	6,8
2013M08	1,24	7,2
2013M09	1,19	7,5
2013M10	1,18	7,4
2013M11	1,36	8,1
2013M12	1,61	7,9
2014M01	1,63	8,6
2014M02	1,28	9,3
2014M03	1,05	9,8
2014M04	1,05	9,1
2014M05	0,78	10,9
2014M06	0,92	9,1
2014M07	0,83	7,0
2014M08	1,14	7,6
2014M09	1,33	8,3
2014M10	1,01	8,4
2014M11	0,97	8,1
2014M12	0,46	8,8
2015M01	-0,15	9,0
2015M02	-0,14	10,3
2015M03	-0,05	10,4
2015M04	-0,21	10,3
2015M05	-0,03	11,7
2015M06	-0,11	10,2
2015M07	-0,22	8,4
2015M08	-0,19	8,4
2015M09	-0,59	8,5
2015M10	-0,26	8,8
2015M11	-0,23	8,3
2015M12	-0,23	9,2
2016M01	0,02	9,4
2016M02	-0,09	9,7
2016M03	-0,03	10,1
2016M04	0,26	9,7
2016M05	0,30	10,8
2016M06	0,36	9,4
2016M07	0,51	8,1
2016M08	0,37	7,6
2016M09	0,41	7,6
2016M10	0,46	8,2
2016M11	0,65	8,4
2016M12	1,02	8,0
2017M01	0,84	9,3
2017M02	1,21	9,6
2017M03	0,83	9,6
2017M04	0,84	10,3
2017M05	0,72	10,9
2017M06	0,75	9,0
2017M07	0,53	7,6
2017M08	0,74	7,5
2017M09	0,77	8,3
2017M10	0,54	7,6
2017M11	0,77	7,0
2017M12	0,49	8,5
2018M01	0,78	9,0
2018M02	0,60	8,8
2018M03	0,80	8,9
2018M04	0,75	8,5
2018M05	1,01	9,3
2018M06	1,15	7,0
2018M07	1,36	6,5
2018M08	1,26	6,7
2018M09	1,26	6,4
2018M10	1,52	6,5
2018M11	1,25	6,2
2018M12	1,17	5,4
2019M01	1,09	6,9
2019M02	1,25	7,3
2019M03	1,12	7,0
2019M04	1,45	8,1
2019M05	1,17	9,0
2019M06	1,02	6,4
2019M07	0,82	5,9
2019M08	1,08	6,1
2019M09	0,91	6,0
2019M10	0,75	6,2
2019M11	0,67	6,0
2019M12	0,91	6,0
2020M01	0,98	7,1
2020M02	0,84	6,9
2020M03	0,60	7,3
2020M04	-0,31	8,0
2020M05	-0,17	10,9
2020M06	-0,04	7,7
2020M07	0,58	7,5
2020M08	0,20	7,8
2020M09	0,15	7,5
2020M10	0,17	7,4
2020M11	0,21	7,0
2020M12	0,23	7,6
2021M01	0,88	8,8
2021M02	0,92	8,3
2021M03	1,33	8,2
2021M04	2,04	9,6
2021M05	2,23	10,3
2021M06	1,97	7,6
2021M07	1,95	7,1
2021M08	2,17	6,5
2021M09	2,49	7,0
2021M10	3,16	6,0
2021M11	3,69	6,0
2021M12	3,47	6,7
2022M01	4,36	7,5
2022M02	4,53	6,7
2022M03	5,79	7,0
2022M04	5,73	6,9
2022M05	6,95	7,9
2022M06	7,79	6,8
2022M07	7,79	6,6
2022M08	7,60	6,7
2022M09	8,11	6,7
2022M10	8,29	5,8
2022M11	9,13	5,9
2022M12	9,14	6,7
2023M01	8,44	7,6
2023M02	8,79	6,7
