Nimi	Tyhjä	Puolue	Vaalipiiri	Vertausluku	Äänet	Kansanedustajana	Toiminta eduskunnassa tai hallituksessa
Touko Aalto		Vihreät	Keski-Suomi	13 599,000	4 326	2015–	Kommentti
Anders Adlercreutz		RKP	Uusimaa	13 308,000	3 337	2015–	
Olavi Ala-Nissilä		Keskusta	Varsinais-Suomi	14 254,333	4 908	1991–2006, 2015–	
Outi Alanko-Kahiluoto		Vihreät	Helsinki	33 903,000	7 884	2007–	
Mikko Alatalo		Keskusta	Pirkanmaa	46 189,000	6 759	2003–	
Li Andersson		Vasemmistoliitto	Varsinais-Suomi	27 001,000	15 071	2015–	
Sirkka-Liisa Anttila		Keskusta	Häme	18 010,000	5 200	1983–1996, 1999–	
Paavo Arhinmäki		Vasemmistoliitto	Helsinki	35 435,000	7 910	2007–	
Anne Berner		Keskusta	Uusimaa	19 916,333	9 691	2015–	liikenne- ja viestintäministeri
Eva Biaudet		RKP	Helsinki	24 645,000	5 515	1991–2006, 2015–	
Thomas Blomqvist		RKP	Uusimaa	26 616,000	6 443	2007–	
Juho Eerola		Perussuomalaiset	Kaakkois-Suomi	25 853,500	8 320	2011–	
Markku Eestilä		Kokoomus	Savo-Karjala	24 980,000	4 578	2011–	
Simon Elo		Siniset	Uusimaa	15 568,500	2 907	2015–	
Ritva Elomaa		Perussuomalaiset	Varsinais-Suomi	50 813,000	9 571	2011–	
Eeva-Johanna Eloranta		Sosiaalidemokraatit	Varsinais-Suomi	40 835,000	6 689	2011–	
Tiina Elovaara		Siniset	Pirkanmaa	12 387,750	4 107	2015–	
Sari Essayah		Kristillisdemokraatit	Savo-Karjala	13 578,000	11 186	2003–2007, 2015–	
Maarit Feldt-Ranta		Sosiaalidemokraatit	Uusimaa	28 820,667	8 749	2007–	
Tarja Filatov		Sosiaalidemokraatit	Häme	44 737,000	8 318	1995–	
Sanni Grahn-Laasonen		Kokoomus	Häme	43 544,000	7 556	2011–	opetusministeri (5.5.2017 alkaen), opetus- ja kulttuuriministeri (29.5.2015–5.5.2017)
Jukka Gustafsson		Sosiaalidemokraatit	Pirkanmaa	18 073,333	6 792	1987–	
Maria Guzenina		Sosiaalidemokraatit	Uusimaa	21 615,500	7 827	2007–	
Tuula Haatainen		Sosiaalidemokraatit	Helsinki	18 624,667	6 662	1996–2007, 2015–	2. varapuhemies (5.2.2018 alkaen)
Pekka Haavisto		Vihreät	Helsinki	67 806,000	14 204	1987–1995, 2007–	
Carl Haglund		RKP	Uusimaa	53 232,000	21 468	2015–2016	Siirtyi Sunshine Kaidi New Energy Groupin varatoimitusjohtajaksi.
Pertti Hakanen		Keskusta	Pirkanmaa	15 396,333	4 709	2015–	
Teuvo Hakkarainen		Perussuomalaiset	Keski-Suomi	14 571,000	5 557	2011–	
Hanna Halmeenpää		Vihreät	Oulu	15 524,000	4 860	2015–	
Timo Harakka		Sosiaalidemokraatit	Uusimaa	17 292,400	5 497	2015–	
Harry Harkimo		Liike Nyt	Uusimaa	62 377,000	11 416	2015–	
Satu Hassi		Vihreät	Pirkanmaa	28 537,000	6 332	1991–2004, 2015–	
Lasse Hautala		Keskusta	Vaasa	22 444,333	7 037	2003–2007, 2009–	
Hannakaisa Heikkinen		Keskusta	Savo-Karjala	70 573,000	10 712	2007–2011, 2015–	
Timo Heinonen		Kokoomus	Häme	21 772,000	6 274	2007–	
Eero Heinäluoma		Sosiaalidemokraatit	Helsinki	27 937,000	9 703	2003–	
Anna-Maja Henriksson		RKP	Vaasa	50 777,000	10 673	2007–	
Reijo Hongisto		Siniset	Vaasa	19 482,000	6 736	2011–	
Petri Honkonen		Keskusta	Keski-Suomi	10 182,250	2 978	2015–	
Hannu Hoskonen		Keskusta	Savo-Karjala	14 114,600	6 633	2003–2011, 2015–	
Laura Huhtasaari		Perussuomalaiset	Satakunta	30 600,000	9 259	2015–	
Susanna Huovinen		Sosiaalidemokraatit	Keski-Suomi	14 355,000	5 003	1999–2018	Siirtyi Keski-Suomen ensi- ja turvakodin toiminnanjohtajaksi.
Antti Häkkänen		Kokoomus	Kaakkois-Suomi	38 947,000	6 216	2015–	oikeusministeri (5.5.2017 alkaen)
Katja Hänninen		Vasemmistoliitto	Oulu	14 790,000	6 007	2014–	
Lauri Ihalainen		Sosiaalidemokraatit	Keski-Suomi	28 710,000	10 354	2011–	
Olli Immonen		Perussuomalaiset	Oulu	20 214,500	4 964	2011–	
Ari Jalonen		Siniset	Satakunta	15 300,000	5 753	2011–	
Marisanna Jarva		Keskusta	Oulu	15 225,857	5 347	2015–	
Harri Jaskari		Kokoomus	Pirkanmaa	18 216,000	5 471	2007–	
Kalle Jokinen		Kokoomus	Häme	14 514,667	5 728	2009–	
Kauko Juhantalo		Keskusta	Satakunta	25 247,000	4 627	1979–1993, 1995–1999, 2003–2007, 2015–	
Arja Juvonen		Perussuomalaiset	Uusimaa	18 682,200	2 931	2011–	
Heli Järvinen		Vihreät	Kaakkois-Suomi	15 664,000	3 580	2007–2011, 2015–	
Antti Kaikkonen		Keskusta	Uusimaa	29 874,500	10 617	2003–	
Timo Kalli		Keskusta	Satakunta	12 623,500	4 215	1991–	
Anne Kalmari		Keskusta	Keski-Suomi	40 729,000	10 216	2007–	
Ilkka Kanerva		Kokoomus	Varsinais-Suomi	22 822,000	9 183	1975–	
Toimi Kankaanniemi		Perussuomalaiset	Keski-Suomi	29 142,000	6 511	1987–2011, 2015–	
Ilkka Kantola		Sosiaalidemokraatit	Varsinais-Suomi	13 611,667	5 908	2007–	
Emma Kari		Vihreät	Helsinki	16 951,500	4 647	2015–	
Mika Kari		Sosiaalidemokraatit	Häme	22 368,500	6 867	2011–	
Johanna Karimäki		Vihreät	Uusimaa	17 344,667	4 341	2007–	
Jyrki Kasvi		Vihreät	Uusimaa	26 017,000	4 991	2003–2011, 2015–	
Elsi Katainen		Keskusta	Savo-Karjala	23 524,333	7 084	2007–2018	Siirtyi europarlamenttiin.
Niilo Keränen		Keskusta	Oulu	21 316,200	5 696	1999–2003, 2015–	
Anneli Kiljunen		Sosiaalidemokraatit	Kaakkois-Suomi	18 201,333	5 418	2003–	
Krista Kiuru		Sosiaalidemokraatit	Satakunta	13 815,500	7 561	2007–	
Pauli Kiuru		Kokoomus	Pirkanmaa	27 324,000	5 726	2011–	
Kimmo Kivelä		Siniset	Savo-Karjala	14 232,000	5 145	2011–	
Esko Kiviranta		Keskusta	Varsinais-Suomi	21 381,500	5 994	2003–	
Anna Kontula		Vasemmistoliitto	Pirkanmaa	21 780,000	7 769	2011–	
Jukka Kopra		Kokoomus	Kaakkois-Suomi	12 982,333	4 677	2011–	
Timo V. Korhonen		Keskusta	Oulu	13 322,625	5 180	2007–	
Susanna Koski		Kokoomus	Vaasa	14 597,500	3 102	2015–	
Hanna Kosonen		Keskusta	Kaakkois-Suomi	20 598,000	6 600	2015–	
Kari Kulmala		Siniset	Savo-Karjala	21 348,000	5 188	2015–	
Katri Kulmuni		Keskusta	Lappi	43 293,000	9 702	2015–	
Antti Kurvinen		Keskusta	Vaasa	16 833,250	5 838	2015–	
Suna Kymäläinen		Sosiaalidemokraatit	Kaakkois-Suomi	27 302,000	7 435	2011–	
Seppo Kääriäinen		Keskusta	Savo-Karjala	17 643,250	7 006	1987–	
Jaana Laitinen-Pesola		Kokoomus	Satakunta	18 377,000	3 483	2015–	
Annika Lapintie		Vasemmistoliitto	Varsinais-Suomi	13 500,500	5 027	1995–	
Antero Laukkanen		Kristillisdemokraatit	Uusimaa	13 750,000	2 520	2015–	
Sanna Lauslahti		Kokoomus	Uusimaa	15 594,250	4 576	2007–2018	Siirtyi Lääketeollisuus ry:n toimitusjohtajaksi.
Eero Lehti		Kokoomus	Uusimaa	13 861,556	4 385	2007–	
Rami Lehto		Perussuomalaiset	Häme	19 768,500	6 705	2015–	
Elina Lepomäki		Kokoomus	Uusimaa	31 188,500	6 541	2014–	
Jari Leppä		Keskusta	Kaakkois-Suomi	61 794,000	9 362	1999–	maa- ja metsätalousministeri (5.5.2017 alkaen)
Jari Lindström		Siniset	Kaakkois-Suomi	51 707,000	9 966	2011–	työministeri (5.5.2017 alkaen), työ- ja oikeusministeri (29.5.2015–5.5.2017)
Antti Lindtman		Sosiaalidemokraatit	Uusimaa	43 231,000	10 687	2011–	
Mika Lintilä		Keskusta	Vaasa	13 466,600	5 243	1999–	elinkeinoministeri (29.12.2016 alkaen)
Maria Lohela		Liike Nyt	Varsinais-Suomi	16 937,667	5 583	2011–	puhemies (29.5.2015–5.2.2018)
Markus Lohi		Keskusta	Lappi	10 823,250	4 793	2011–	
Anne Louhelainen		Siniset	Häme	39 537,000	6 743	2011–	
Mats Löfström		Åländsk Samling	Ahvenanmaa	10 910,000	5 217	2015–	
Eeva-Maria Maijala		Keskusta	Lappi	14 431,000	5 515	2011–	
Sanna Marin		Sosiaalidemokraatit	Pirkanmaa	54 220,000	10 911	2015–	
Pirkko Mattila		Siniset	Oulu	40 429,000	6 570	2011–	sosiaali- ja terveysministeri (25.8.2016 alkaen)
Krista Mikkonen		Vihreät	Savo-Karjala	14 599,000	4 624	2015–	
Silvia Modig		Vasemmistoliitto	Helsinki	17 717,500	6 190	2011–	
Sari Multala		Kokoomus	Uusimaa	20 792,333	6 118	2015–	
Markus Mustajärvi		Vasemmistoliitto	Lappi	13 827,000	5 743	2003–	
Kai Mykkänen		Kokoomus	Uusimaa	17 822,000	5 260	2015–	ulkomaankauppa- ja kehitysministeri (22.6.2016 alkaen)
Riitta Myller		Sosiaalidemokraatit	Savo-Karjala	17 314,500	4 825	1987–1995, 2011–	
Jari Myllykoski		Vasemmistoliitto	Satakunta	11 730,000	4 175	2011–	
Jani Mäkelä		Perussuomalaiset	Kaakkois-Suomi	12 926,750	6 102	2015–	
Outi Mäkelä		Kokoomus	Uusimaa	41 584,667	6 598	2007–2018	Siirtyi Nurmijärven kunnanjohtajaksi.
Lea Mäkipää		Siniset	Pirkanmaa	49 551,000	6 124	1983–1995, 2011–	
Merja Mäkisalo-Ropponen		Sosiaalidemokraatit	Savo-Karjala	34 629,000	4 899	2011–	
Hanna Mäntylä		Siniset	Lappi	17 733,00	8 072	2011–2017	sosiaali- ja terveysministeri (29.5.2015–25.8.2016). Siirtyi Euroopan neuvoston sihteeristöön.
Martti Mölsä		Siniset	Pirkanmaa	16 517,000	5 048	2011–	
Mika Niikko		Perussuomalaiset	Uusimaa	31 137,000	4 273	2011–	
Jussi Niinistö		Siniset	Uusimaa	46 705,500	11 767	2011–	puolustusministeri
Ville Niinistö		Vihreät	Varsinais-Suomi	22 875,000	8 835	2007–	
Ilmari Nurminen		Sosiaalidemokraatit	Pirkanmaa	13 555,000	5 079	2015–	
Mikaela Nylander		RKP	Uusimaa	17 744,000	5 422	2003–	
Mats Nylund		RKP	Vaasa	16 925,667	5 189	2007–	
