Nimi	Puolue	Vaalipiiri	Kansanedustajana
Annika Saarikko		Keskusta	Varsinais-Suomi	2011–
Matti Vanhanen		Keskusta	Uusimaa	1991–2010, 2015–
Katri Kulmuni		Keskusta	Lappi	2015–
Antti Kaikkonen		Keskusta	Uusimaa	2003–
Jari Leppä		Keskusta	Kaakkois-Suomi	1999–
Antti Kurvinen		Keskusta	Vaasa	2015–
Hanna Kosonen		Keskusta	Kaakkois-Suomi	2015–
Juha Sipilä		Keskusta	Oulu	2011–
Hannakaisa Heikkinen		Keskusta	Savo-Karjala	2007–2011, 2015–
Anne Kalmari		Keskusta	Keski-Suomi	2007–
Eeva Kalli		Keskusta	Satakunta	2019–
Pasi Kivisaari		Keskusta	Vaasa	2019–
Mikko Kärnä		Keskusta	Lappi	2015–2018, 2019–
Mikko Kinnunen		Keskusta	Oulu	2019–
Juha Pylväs		Keskusta	Oulu	2015–
Mika Lintilä		Keskusta	Vaasa	1999–
Hanna-Leena Mattila		Keskusta	Oulu	2018–
Mikko Savola		Keskusta	Vaasa	2011–
Arto Pirttilahti		Keskusta	Pirkanmaa	2011–
Anu Vehviläinen		Keskusta	Savo-Karjala	1995–2003, 2007–
Jouni Ovaska		Keskusta	Pirkanmaa	2019–
Markus Lohi		Keskusta	Lappi	2011–
Hannu Hoskonen		Keskusta	Savo-Karjala	2003–2011, 2015–
Petri Honkonen		Keskusta	Keski-Suomi	2015–
Antti Rantakangas		Keskusta	Oulu	1999–2019
Pekka Aittakumpu		Keskusta	Oulu	2019–
Ari Torniainen		Keskusta	Kaakkois-Suomi	2011–
Hanna Huttunen		Keskusta	Savo-Karjala	2019–
Esko Kiviranta		Keskusta	Varsinais-Suomi	2003–
Hilkka Kemppi		Keskusta	Häme	2019–
Joonas Könttä		Keskusta	Keski-Suomi	2019–
Petteri Orpo		Kokoomus	Varsinais-Suomi	2007–
Kai Mykkänen		Kokoomus	Uusimaa	2015–
Antti Häkkänen		Kokoomus	Kaakkois-Suomi	2015–
Elina Valtonen		Kokoomus	Uusimaa	2014–
Ben Zyskowicz		Kokoomus	Helsinki	1979–
Jaana Pelkonen		Kokoomus	Helsinki	2011–
Paula Risikko		Kokoomus	Vaasa	2003–
Marko Kilpi		Kokoomus	Savo-Karjala	2019–
Anna-Kaisa Ikonen		Kokoomus	Pirkanmaa	2019–2021
Pia Kauma		Kokoomus	Uusimaa	2011–2015, 2017–
Juhana Vartiainen		Kokoomus	Helsinki	2015–2021
Sari Multala		Kokoomus	Uusimaa	2015–
Heikki Vestman		Kokoomus	Uusimaa	2019–
Sanni Grahn-Laasonen		Kokoomus	Häme	2011–
Sofia Vikman		Kokoomus	Pirkanmaa	2011–
Ilkka Kanerva		Kokoomus	Varsinais-Suomi	1975–2022
Terhi Koulumies		Kokoomus	Helsinki	2019–
Anne-Mari Virolainen		Kokoomus	Varsinais-Suomi	2007–
Sari Sarkomaa		Kokoomus	Helsinki	1999–
Sinuhe Wallinheimo		Kokoomus	Keski-Suomi	2011–
Pauli Kiuru		Kokoomus	Pirkanmaa	2011–
Kalle Jokinen		Kokoomus	Häme	2009–
Mari-Leena Talvitie		Kokoomus	Oulu	2015–
Mia Laiho		Kokoomus	Uusimaa	2018–
