"maakunta";"ikäluokka";"VMI 12/13 (2017-2021)"
"Uusimaa";"Puuton";8
"Uusimaa";"Ikäluokka - 1-20";92
"Uusimaa";"Ikäluokka - 21-40";114
"Uusimaa";"Ikäluokka - 41-60";118
"Uusimaa";"Ikäluokka - 61-80";74
"Uusimaa";"Ikäluokka - 81-100";45
"Uusimaa";"Ikäluokka - 101-120";30
"Uusimaa";"Ikäluokka - 121-140";7
"Uusimaa";"Ikäluokka - 141+";11
"Uusimaa";"Metsämaa yhteensä";500
"Varsinais-Suomi";"Puuton";7
"Varsinais-Suomi";"Ikäluokka - 1-20";100
"Varsinais-Suomi";"Ikäluokka - 21-40";93
"Varsinais-Suomi";"Ikäluokka - 41-60";118
"Varsinais-Suomi";"Ikäluokka - 61-80";88
"Varsinais-Suomi";"Ikäluokka - 81-100";72
"Varsinais-Suomi";"Ikäluokka - 101-120";46
"Varsinais-Suomi";"Ikäluokka - 121-140";22
"Varsinais-Suomi";"Ikäluokka - 141+";14
"Varsinais-Suomi";"Metsämaa yhteensä";562
"Satakunta";"Puuton";9
"Satakunta";"Ikäluokka - 1-20";84
"Satakunta";"Ikäluokka - 21-40";95
"Satakunta";"Ikäluokka - 41-60";115
"Satakunta";"Ikäluokka - 61-80";104
"Satakunta";"Ikäluokka - 81-100";53
"Satakunta";"Ikäluokka - 101-120";30
"Satakunta";"Ikäluokka - 121-140";22
"Satakunta";"Ikäluokka - 141+";11
"Satakunta";"Metsämaa yhteensä";523
"Kanta-Häme";"Puuton";7
"Kanta-Häme";"Ikäluokka - 1-20";72
"Kanta-Häme";"Ikäluokka - 21-40";76
"Kanta-Häme";"Ikäluokka - 41-60";74
"Kanta-Häme";"Ikäluokka - 61-80";51
"Kanta-Häme";"Ikäluokka - 81-100";39
"Kanta-Häme";"Ikäluokka - 101-120";16
"Kanta-Häme";"Ikäluokka - 121-140";9
"Kanta-Häme";"Ikäluokka - 141+";1
"Kanta-Häme";"Metsämaa yhteensä";346
"Pirkanmaa";"Puuton";13
"Pirkanmaa";"Ikäluokka - 1-20";192
"Pirkanmaa";"Ikäluokka - 21-40";205
"Pirkanmaa";"Ikäluokka - 41-60";237
"Pirkanmaa";"Ikäluokka - 61-80";152
"Pirkanmaa";"Ikäluokka - 81-100";84
"Pirkanmaa";"Ikäluokka - 101-120";50
"Pirkanmaa";"Ikäluokka - 121-140";20
"Pirkanmaa";"Ikäluokka - 141+";10
"Pirkanmaa";"Metsämaa yhteensä";963
"Päijät-Häme";"Puuton";2
"Päijät-Häme";"Ikäluokka - 1-20";84
"Päijät-Häme";"Ikäluokka - 21-40";97
"Päijät-Häme";"Ikäluokka - 41-60";88
"Päijät-Häme";"Ikäluokka - 61-80";70
"Päijät-Häme";"Ikäluokka - 81-100";35
"Päijät-Häme";"Ikäluokka - 101-120";14
"Päijät-Häme";"Ikäluokka - 121-140";6
"Päijät-Häme";"Ikäluokka - 141+";2
"Päijät-Häme";"Metsämaa yhteensä";397
"Kymenlaakso";"Puuton";7
"Kymenlaakso";"Ikäluokka - 1-20";75
"Kymenlaakso";"Ikäluokka - 21-40";76
"Kymenlaakso";"Ikäluokka - 41-60";78
"Kymenlaakso";"Ikäluokka - 61-80";36
"Kymenlaakso";"Ikäluokka - 81-100";15
"Kymenlaakso";"Ikäluokka - 101-120";10
"Kymenlaakso";"Ikäluokka - 121-140";7
"Kymenlaakso";"Ikäluokka - 141+";3
"Kymenlaakso";"Metsämaa yhteensä";308
"Etelä-Karjala";"Puuton";7
"Etelä-Karjala";"Ikäluokka - 1-20";100
"Etelä-Karjala";"Ikäluokka - 21-40";99
"Etelä-Karjala";"Ikäluokka - 41-60";109
"Etelä-Karjala";"Ikäluokka - 61-80";45
"Etelä-Karjala";"Ikäluokka - 81-100";24
"Etelä-Karjala";"Ikäluokka - 101-120";19
"Etelä-Karjala";"Ikäluokka - 121-140";5
"Etelä-Karjala";"Ikäluokka - 141+";2
"Etelä-Karjala";"Metsämaa yhteensä";412
"Etelä-Savo";"Puuton";15
"Etelä-Savo";"Ikäluokka - 1-20";231
