index;Sijoitus;Nimi;Korkeus(m);Prominenssi;Sijainti;KKJ N;KKJ E;Huomautuksia
1;1;Halti;1323,6;1 323,6;Enontekiö;7691965;1510654;Haltin huippu on Norjan puolella, 1 361 m. Aivan Suomen korkeimman kohdan lähellä on 1 328,0 m korkea kohta.
2;2;Ridnitsohkka;1317,1;187,1 Halti;Enontekiö;7689717;1513554;Suomen korkein tunturin huippu (Suomen korkein kohta on Haltin rinteellä). Huipulla on Suomen korkeimmalla oleva rakennus puhelinverkon tukiasemana.
3;3;Kiedditsohkka;1285,0;165 Halti;Enontekiö;7690135;1508596;Haltin sivuhuippu
4;NA;Ruvdnaoiaivi;1234,7;34,7 Ridnitsohkka;Enontekiö;7691367;1514626;Ridnitsohkkan sivuhuippu. Prominenssi < 100 m
5;4;Kovddoskaisi;1227,0;440 Halti;Enontekiö;7682243;1507665;Useat erävaeltajat pitävät Kovddoskaisia syrjäisen sijaintinsa ja jyrkkien rinteidensä takia Suomen vaikeimmin valloitettavana tunturina[1]. Kovddoskaisin kaakkoisrinne on Suomen suurimpia suhteellisia korkeuseroja: tunturin korkein huippu kohoaa 604 metriä Vuomakasjärven pinnasta 4,53 kilometrin matkalla.
6;5;Loassonibba;1190,3;375,3 Kovddoskaisi;Enontekiö;7678300;1503226;
7;6;Urtasvaara;1157,5;107,5 Kovddoskaisi;Enontekiö;7683420;1501734;
8;7;Kieddoaivi;1155,0;135 Loassonibba;Enontekiö;7674923;1501797;
9;8;Kahperusvaara;1143,6;148,6 Loassonibba;Enontekiö;7673252;1505673;
10;NA;Greddoaivi;1134,6;39,6 Kieddoaivi;Enontekiö;7673138;1502045;Sijaitsee Norjan rajalla. Prominenssi < 100 m Kieddoaivi
11;NA;Giedderassa;1125,0;25 Kieddoaivi;Enontekiö;7675737;1502412;
12;9;Marfevarri;1102,4;102,4 Kovddoskaisi;Enontekiö;7686683;1503993;Sijaitsee Norjan rajalla. Tunturin korkein kohta 1 105+ on 100 metriä Norjan puolella.
13;NA;Pihtsosjunni;1083,1;43,1 Kovddoskaisi;Enontekiö;7682198;1509790;Prominenssi < 100 m Kovddoskaisi
14;10;Tuolljehuhput;1081,2;151,2 Loassonibba;Enontekiö;7669176;1504520;Sijaitsee Norjan rajalla.
15;NA;Kodderassak;1072,5;37,5 Kieddoaivi;Enontekiö;7676426;1503246;Prominenssi < 100 m Kieddoaivi
16;NA;Kuonjarvarri;1065,0;85 Tuolljehuhput;Enontekiö;7668044;1507474;
17;NA;Altovaara;1055,0;65 Kieddoaivi;Enontekiö;7671738;1503454;
18;NA;Goddevarri;1047,5;47,5 Loassonibba;Enontekiö;7677736;1504962;Prominenssi < 100 m  Loassonibba
19;NA;Aldovaggemuvra;1046,6;54,1 Kieddoaivi;Enontekiö;7671188;1502412;Sijaitsee Norjan rajalla, Prominenssi < 100 m Altovaara.
20;11;Tierbmesvarri;1028,8;375 Halti;Enontekiö;7658720;1510023;
21;12;Saana;1028,7;343,7 Halti;Enontekiö;7662452;1494459;Länsirinteellä Suomen lyhyimmällä matkalla oleva vähintään 500 m korkeusero.
22;13;Toskalharji;1027,5;125 Halti;Enontekiö;7680787;1520059;
23;14;Jollanoaivi;1026,3;166,3 Kovddoskaisi;Enontekiö;7662616;1512585;
24;NA;Láfolvárri;1024,6;84,6 Halti;Enontekiö;7682289;1516051;
25;NA;Jeärdneoaivi;1017,5;42,5 Halti;Enontekiö;7686488;1516793;Prominenssi < 100 m Ridnitsohkka
26;15;Meekonvaara;1017,3;239,8 Halti;Enontekiö;7676448;1511485;
27;NA;Gahperusvárri;995,0;75 Kahperusvaara;Enontekiö;7683441;3274689;Prominenssi < 100m Kahperusvaara
28;16;Korkea-Jehkas;960,0;245 Saana;Enontekiö;7667207;1493590;
29;17;Ailakkavaara;955,0;192,5 Tierbmesvarri;Enontekiö;7656424;1503826;
30;18;Iso-Jehkas;955,0;140 Korkea-Jehkas;Enontekiö;7664018;1496451;
31;19;Iso-Malla;951,9;389,4  Halti;Enontekiö;7666643;1486008;Mallan luonnonpuiston korkein tunturi.
32;20;Gohpevarri;950,0;155 Halti;Enontekiö;7665335;1514674;
33;20;Annjaloanji;950,0;115+ Láfolvárri;Enontekiö;7689325;3278518;korkeus laskettu korkeuskäyristä[2]
34;22;Ropi;945,2;385,2 Halti;Enontekiö;7633512;1527436;Korkein tunturi Käsivarren suurtunturialueen ulkopuolella.
35;23;Peeravaara;932,7;127,7  Tierbmesvarri;Enontekiö;7647546;1505661;
36;24;Goallarassa;928,2;151,9 Iso-Malla;Enontekiö;7668961;1486944;Korkeuslukema itärinteeltä, huippu Norjan puolella 970+ m.
37;25;Stuoraviissetoaivi;905,0;202,5 Ropi;Enontekiö;7637915;1524448;
38;26;Seittikielas;905,0;174,6 Halti;Enontekiö;7684512;1525582;
39;27;Paihkasvaara;897,5;135 Tierbmesvarri;Enontekiö;7658401;1505645;
40;28;Salmivaarat;895,0;160 Halti;Enontekiö;7661649;1504460;
41;29;Adjatoaivi;845,0;137,5 Halti;Enontekiö;7676635;1526985;
42;30;Jorba-Cierti;844,1;169,1 Halti;Enontekiö;7673559;1533769;
