SourceSystem	SourceTable	Concept	TargetEntity
CRM	CRMTable1	Customer	HUB_Customer
CRM	CRMTable2	Customer	SAT_Customer
CRM	CRMTable3	Customer	SAT_Customer
CRM	CRMTable4	Customer	SAT_Customer
CRM	CRMTable5	Customer	HUB_Customer
CRM	CRMTable6	Contact	HUB_Contact
CRM	CRMTable7	Contact	SAT_Contact
CRM	CRMTable8	Contact	SAT_Contact
CRM	CRMTable9	Store	HUB_Store
CRM	CRMTable10	Store	SAT_Store
CRM	CRMTable11	Personnel	HUB_Personnel
CRM	CRMTable12	Personnel	HUB_Personnel
CRM	CRMTable13	Personnel	SAT_Personnel
ERP	ERPTable1	Personnel	HUB_Personnel
ERP	ERPTable2	Personnel	SAT_Personnel
ERP	ERPTable3	Store	SAT_Store
ERP	ERPTable4	Store	SAT_Store
ERP	ERPTable5	Customer	SAT_Customer
ERP	ERPTable6	Customer	HUB_Customer
ERP	ERPTable7	Contact	HUB_Contact
ERP	ERPTable8	Contact	HUB_Contact
ERP	ERPTable9	Contact	SAT_Contact
ERP	ERPTable10	Concept1	HUB_Concept1
ERP	ERPTable11	Concept2	SAT_Concept2
ERP	ERPTable12	Concept3	SAT_Concept3
ERP	ERPTable13	Concept4	SAT_Concept4
ERP	ERPTable14	Concept5	HUB_Concept5
ERP	ERPTable15	Personnel	HUB_Personnel
ERP	ERPTable16	Concept2	HUB_Concept2
ERP	ERPTable17	Concept3	HUB_Concept3
ERP	ERPTable18	Concept4	HUB_Concept4
ERP	ERPTable19	Concept5	HUB_Concept5
ERP	ERPTable20	Concept3	SAT_Concept3
MDM	MDMTable1	Concept4	SAT_Concept4
MDM	MDMTable2	Customer	HUB_Customer
MDM	MDMTable3	Customer	SAT_Customer
MDM	MDMTable4	Customer	SAT_Customer
MDM	MDMTable5	Customer	HUB_Customer
MDM	MDMTable6	Contact	SAT_Contact
MDM	MDMTable7	Contact	HUB_Contact
MDM	MDMTable8	Contact	HUB_Contact
MDM	MDMTable9	Contact	SAT_Contact
MDM	MDMTable10	Personnel	SAT_Personnel
MDM	MDMTable11	Store	HUB_Store
MDM	MDMTable12	Store	SAT_Store
MDM	MDMTable13	Personnel	HUB_Personnel
MDM	MDMTable14	Concept3	SAT_Concept3
MDM	MDMTable15	Concept4	HUB_Concept4
MDM	MDMTable16	Concept5	SAT_Concept5
POS	POSTable1	Personnel	SAT_Personnel
POS	POSTable2	Contact	HUB_Contact
POS	POSTable3	Contact	HUB_Contact
POS	POSTable4	Concept2	SAT_Concept2
POS	POSTable5	Customer	SAT_Customer
POS	POSTable6	Customer	SAT_Customer
POS	POSTable7	Personnel	HUB_Personnel
POS	POSTable8	Store	SAT_Store
POS	POSTable9	Store	SAT_Store
POS	POSTable10	Store	HUB_Store
POS	POSTable11	Store	HUB_Store
POS	POSTable12	Concept1	SAT_Concept1
