Type;SourceNode;TargetNode
Concept -> HUB;Ammattinimike;HUB_Ammattinimike_kp
Concept -> HUB;Ammattinimike;HUB_Ammattinimike_kp_teollisuus
Concept -> HUB;Ammattinimike;HUB_Ammattinimike_tp
Concept -> HUB;Antotapa;HUB_Antotapa
Concept -> HUB;Asiakas;HUB_Asiakas
Concept -> HUB;Keruutapa;HUB_Keruutapa
Concept -> HUB;Liitto;HUB_Liitto
Concept -> HUB;Osasto;HUB_Osasto
Concept -> HUB;Rivi;HUB_Tilastotietue
Concept -> HUB;Teollisuusala;HUB_Teollisuusala
Concept -> HUB;Tiedustelu;HUB_PalkkatiedusteluId
Concept -> HUB;Tiedustelu;HUB_Tiedustelu
Concept -> HUB;Tiedustelunlaji;HUB_Tiedustelunlaji
Concept -> HUB;Tilastoala;HUB_Tilastoala
Concept -> HUB;Tilastoasiantuntija;HUB_Tilastoasiantuntija
Concept -> HUB;Toimipaikka;HUB_Toimipaikka
Concept -> HUB;Työehtosopimus;HUB_Tyoehtosopimus
Concept -> HUB;Työtaisteluilmoituksen kohde;HUB_Tyotaistelutoimen_kohde
Concept -> HUB;Työtaistelun laajuus;HUB_Tes_kohtainen_laajuus
Concept -> HUB;Työtaistelun laajuus;HUB_Tyotaistelu_henkilostoryhma
Concept -> HUB;Työtaistelun muoto;HUB_Tyotaistelumuoto
Concept -> HUB;Työtaistelun syy;HUB_Tyotaistelun_sisainen_syy
Concept -> HUB;Työtaistelun syy;HUB_Tyotaistelun_ulkoinen_syy
Concept -> HUB;Työtaistelutoimi;HUB_Tyotaistelutoimi
Concept -> HUB;Vastaaja;HUB_AD_Group
Concept -> HUB;Vastaaja;HUB_Tyotaistelun_vastaaja
Concept -> HUB;Vastaajapaikka;HUB_Vastaajapaikka
Concept -> HUB;Vastaajayksikkö;HUB_TiedustelunYksikko
Concept -> HUB;Vastaajayksikkö;HUB_Vastaajayksikko
Concept -> HUB;Yhteyshenkilö;HUB_Yhteyshenkilo
Concept -> HUB;Yritys;HUB_Tyotaisteluyritys
Concept -> HUB;Yritys;HUB_Yritys
HUB -> LINK;HUB_AD_Group;LINK_AD_Group_Liitto
HUB -> LINK;HUB_Keruutapa;LINK_Tilastoala_Keruutapa
HUB -> LINK;HUB_Liitto;LINK_AD_Group_Liitto
HUB -> LINK;HUB_Liitto;LINK_Liitto_Liitto
HUB -> LINK;HUB_Liitto;LINK_Liitto_Tyoehtosopimus
HUB -> LINK;HUB_Liitto;LINK_TilastoalaOsastoLiitto
HUB -> LINK;HUB_Liitto;LINK_Tyotaistelutoimet
HUB -> LINK;HUB_Osasto;LINK_TilastoalaOsastoLiitto
HUB -> LINK;HUB_Teollisuusala;LINK_Teollisuusala_Tilastoala
HUB -> LINK;HUB_Tes_kohtainen_laajuus;LINK_Tes_kohtainen_laajuus_Tyotaistelutoimi_Tyoehtosopimus
HUB -> LINK;HUB_Tes_kohtainen_laajuus;LINK_Tyotaistelu_henkilostoryhma_Tes_kohtainen_laajuus
HUB -> LINK;HUB_Tiedustelu;LINK_Tiedustelu_Tilastoasiantuntija_Tilastoala
HUB -> LINK;HUB_Tiedustelu;LINK_Tiedustelu_Tilastotietue
HUB -> LINK;HUB_Tiedustelunlaji;LINK_Vastaajayksikko_Tiedustelunlaji
HUB -> LINK;HUB_Tilastoala;LINK_Teollisuusala_Tilastoala
HUB -> LINK;HUB_Tilastoala;LINK_Tiedustelu_Tilastoasiantuntija_Tilastoala
HUB -> LINK;HUB_Tilastoala;LINK_Tilastoala_Keruutapa
HUB -> LINK;HUB_Tilastoala;LINK_TilastoalaOsastoLiitto
HUB -> LINK;HUB_Tilastoasiantuntija;LINK_Tiedustelu_Tilastoasiantuntija_Tilastoala
HUB -> LINK;HUB_Tilastotietue;LINK_Tiedustelu_Tilastotietue
HUB -> LINK;HUB_Toimipaikka;LINK_Vastaajapaikka_Yritys_Toimipaikka
HUB -> LINK;HUB_Tyoehtosopimus;LINK_Liitto_Tyoehtosopimus
HUB -> LINK;HUB_Tyoehtosopimus;LINK_Tes_kohtainen_laajuus_Tyotaistelutoimi_Tyoehtosopimus
HUB -> LINK;HUB_Tyoehtosopimus;LINK_Tyotaistelutoimi_Tyoehtosopimus
HUB -> LINK;HUB_Tyotaistelu_henkilostoryhma;LINK_Tyotaistelu_henkilostoryhma_Tes_kohtainen_laajuus
HUB -> LINK;HUB_Tyotaistelumuoto;LINK_Tyotaistelutoimet
HUB -> LINK;HUB_Tyotaistelun_sisainen_syy;LINK_Tyotaistelutoimet
HUB -> LINK;HUB_Tyotaistelun_ulkoinen_syy;LINK_Tyotaistelutoimet
HUB -> LINK;HUB_Tyotaistelun_vastaaja;LINK_Tyotaistelutoimet
HUB -> LINK;HUB_Tyotaistelutoimen_kohde;LINK_Tyotaistelutoimet
HUB -> LINK;HUB_Tyotaistelutoimi;LINK_Tes_kohtainen_laajuus_Tyotaistelutoimi_Tyoehtosopimus
HUB -> LINK;HUB_Tyotaistelutoimi;LINK_Tyotaistelutoimet
HUB -> LINK;HUB_Tyotaistelutoimi;LINK_Tyotaistelutoimi_Tyoehtosopimus
HUB -> LINK;HUB_Tyotaisteluyritys;LINK_Tyotaistelutoimet
HUB -> LINK;HUB_Vastaajapaikka;LINK_Vastaajapaikka_Yritys_Toimipaikka
HUB -> LINK;HUB_Vastaajayksikko;LINK_Vastaajayksikko_Tiedustelunlaji
HUB -> LINK;HUB_Vastaajayksikko;LINK_Vastaajayksikko_Vastaajapaikka
HUB -> LINK;HUB_Yritys;LINK_Vastaajapaikka_Yritys_Toimipaikka
HUB -> SAT;HUB_AD_Group;SAT_AD_Group_tyti
HUB -> SAT;HUB_Ammattinimike_kp;SAT_Ammattinimike_kp_PT
HUB -> SAT;HUB_Ammattinimike_kp_teollisuus;SAT_Ammattinimike_kp_teollisuus_ek_ohjaus_PT
HUB -> SAT;HUB_Ammattinimike_tp;SAT_Ammattinimike_tp_PT
HUB -> SAT;HUB_Antotapa;SAT_Antotapa_PT
HUB -> SAT;HUB_Asiakas;SAT_Asiakas_Kore
HUB -> SAT;HUB_Keruutapa;SAT_Keruutapa_PT
HUB -> SAT;HUB_Liitto;SAT_Liitto_tyti
HUB -> SAT;HUB_Tes_kohtainen_laajuus;SAT_Tes_kohtainen_laajuus_tyti
HUB -> SAT;HUB_Tiedustelu;SAT_Tiedustelu_PT
HUB -> SAT;HUB_Tiedustelunlaji;SAT_Tiedustelunlaji_PT
HUB -> SAT;HUB_TiedustelunYksikko;SAT_TiedustelunYksikko_PT
HUB -> SAT;HUB_Tilastoala;SAT_Tilastoala_PT
HUB -> SAT;HUB_Tilastotietue;SAT_Tilastotietue_Muut_KP_PT
HUB -> SAT;HUB_Tilastotietue;SAT_Tilastotietue_Muut_TP_PT
HUB -> SAT;HUB_Tilastotietue;SAT_Tilastotietue_Perus_KP_PT
HUB -> SAT;HUB_Tilastotietue;SAT_Tilastotietue_Perus_TP_PT
HUB -> SAT;HUB_Tilastotietue;SAT_Tilastotietue_Tarkastus_Muut_TP_PT
HUB -> SAT;HUB_Tilastotietue;SAT_Tilastotietue_Tarkastus_Perus_TP_PT
HUB -> SAT;HUB_Tyoehtosopimus;SAT_Tyoehtosopimus_tyti
